month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-09-01 00:00:00.000,Baltimore-Maryland,CITY,514,3499,2796,2920,25608,946,1220,2249,20835,959,128,5292,1349,3146,5016,5156,1269,1296,1387,35675,3185,245587,2021-09-01 00:00:00.000,Baltimore-Maryland,348524
2022-01-01 00:00:00.000,Charlottesville-Harrisonburg,CITY,54,140,533,303,43,151,75,72,1318,61,15,534,118,454,265,565,62,80,116,1518,209,21796,2022-01-01 00:00:00.000,Charlottesville-Harrisonburg,27250
2021-08-01 00:00:00.000,"Lancaster, PA",CITY,5,111,851,217,49,45,75,134,1278,43,23,279,40,227,156,525,50,76,103,1514,202,14615,2021-08-01 00:00:00.000,"Lancaster, PA",19679
2021-11-01 00:00:00.000,Eastern Shore,CITY,66,53,174,126,41,41,27,172,666,27,7,198,33,111,178,80,9,9,8,144,15,6664,2021-11-01 00:00:00.000,Eastern Shore,8250
2021-04-01 00:00:00.000,New Hampshire,CITY,160,284,1831,306,167,150,56,254,1548,43,115,811,39,222,290,712,62,102,119,2667,244,20845,2021-04-01 00:00:00.000,New Hampshire,29213
2021-07-01 00:00:00.000,Wilkes-Barre Scranton,CITY,123,152,870,260,35,51,71,181,1614,50,19,319,80,461,241,850,74,140,119,1726,243,19233,2021-07-01 00:00:00.000,Wilkes-Barre Scranton,25645
2021-11-01 00:00:00.000,Western WV,CITY,65,28,49,83,8,21,24,242,548,25,5,126,8,129,86,92,10,19,21,197,26,5470,2021-11-01 00:00:00.000,Western WV,6807
2021-04-01 00:00:00.000,Rhode Island,CITY,56,667,2040,730,1680,1008,100,413,3164,115,65,747,174,458,475,1722,191,223,307,3949,614,53666,2021-04-01 00:00:00.000,Rhode Island,69258
2021-06-01 00:00:00.000,Washington D.C.,CITY,469,10768,19141,9084,95586,3813,5405,9640,76566,3133,294,15262,4542,12137,8143,42326,4759,6422,7660,181925,12772,1313123,2021-06-01 00:00:00.000,Washington D.C.,1754739
2021-11-01 00:00:00.000,Johnstown-Altoona,CITY,62,37,163,75,8,18,29,222,479,12,4,108,25,175,48,48,6,7,6,98,11,6876,2021-11-01 00:00:00.000,Johnstown-Altoona,8100
2021-09-01 00:00:00.000,Boston,CITY,992,9473,518521,8794,94827,3132,3625,4444,50805,3479,260,15550,4600,5311,7031,9727,2823,2729,4335,124154,8379,414770,2021-09-01 00:00:00.000,Boston,1117717
2021-06-01 00:00:00.000,New Hampshire,CITY,188,168,551,282,116,92,57,233,1549,32,69,395,67,203,255,757,71,94,102,1870,251,21089,2021-06-01 00:00:00.000,New Hampshire,27395
2021-03-01 00:00:00.000,York-Gettysburg,CITY,84,169,1285,219,91,180,64,278,1222,45,91,522,42,196,111,633,63,71,100,2906,218,13018,2021-03-01 00:00:00.000,York-Gettysburg,20010
2021-10-01 00:00:00.000,Pittsburgh,CITY,432,1312,9511,1550,21059,794,449,1290,11337,575,99,3362,941,2988,3218,1622,177,266,487,11388,666,120789,2021-10-01 00:00:00.000,Pittsburgh,181087
