month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-09-01 00:00:00.000,Baltimore_MD,CITY,635,3654,3974,3151,25676,992,1264,2325,21658,1000,187,5581,1403,3277,5351,5352,1302,1342,1450,36845,3315,254605,2021-09-01 00:00:00.000,Baltimore_MD,361894
2021-02-01 00:00:00.000,Baltimore_MD,CITY,275,1805,7247,3045,59418,4895,1008,2179,14844,606,636,4913,1128,2816,1373,9120,1058,1064,1817,36385,2624,127861,2021-02-01 00:00:00.000,Baltimore_MD,251249
2021-01-01 00:00:00.000,Philadelphia,CITY,953,12158,25834,15621,104490,28765,8676,18944,98089,4806,1290,22353,11739,13291,7550,68467,7702,8811,12449,161912,19711,1822961,2021-01-01 00:00:00.000,Philadelphia,2364001
2021-06-01 00:00:00.000,Boston,CITY,413,6681,56583,6430,124133,2864,3240,5067,45427,1927,417,11385,3660,5534,4948,25240,3067,3747,4818,109299,7535,703347,2021-06-01 00:00:00.000,Boston,1055596
2021-11-01 00:00:00.000,DC,CITY,1125,6255,3737,9587,84254,4490,5045,20245,77503,4175,98,16767,5429,12322,12570,9757,1337,1548,1449,53411,2431,1248125,2021-11-01 00:00:00.000,DC,1517722
2021-09-01 00:00:00.000,DC,CITY,1307,14632,28757,10501,87706,3725,5760,8673,77469,4074,127,21083,5609,10838,15932,16526,4845,4588,5757,236344,13043,1240425,2021-09-01 00:00:00.000,DC,1726021
2021-03-01 00:00:00.000,DC,CITY,612,13525,26731,11486,34575,15501,4958,12376,76357,3251,386,20383,5000,10642,6416,40683,4946,5625,7883,230795,13437,1364919,2021-03-01 00:00:00.000,DC,1824936
2021-09-01 00:00:00.000,Philadelphia,CITY,2896,23736,20063,18791,74752,6487,8861,12424,135284,8560,671,35185,13667,17874,25109,33330,7516,8240,10897,213537,21765,1839918,2021-09-01 00:00:00.000,Philadelphia,2435647
2021-05-01 00:00:00.000,Baltimore_MD,CITY,415,3141,6376,3717,49661,1691,1338,2744,17888,618,292,4890,1208,3972,2828,10330,968,1149,1750,36481,2695,209736,2021-05-01 00:00:00.000,Baltimore_MD,332291
2021-09-01 00:00:00.000,Boston,CITY,992,9473,518521,8794,94827,3132,3625,4444,50805,3479,260,15550,4600,5311,7031,9727,2823,2729,4335,124154,8379,414770,2021-09-01 00:00:00.000,Boston,1117717
